N,W,Tiempo
36,300,0.241116
41,300,0.270984
46,300,0.306645
51,300,0.339298
56,300,0.365519
61,300,0.397569
66,300,0.434781
71,300,0.466093
76,300,0.498035
81,300,0.529583
86,300,0.564309
91,300,0.600541
96,300,0.62473
101,300,0.656314
106,300,0.691932
111,300,0.730916
116,300,0.774694
121,300,0.795405
126,300,0.824871
131,300,0.872761
136,300,0.909701
141,300,0.935481
146,300,0.969254
151,300,1.01795
156,300,1.03597
161,300,1.07912
166,300,1.11603
171,300,1.13783
176,300,1.16775
181,300,1.21705
186,300,1.23435
191,300,1.27746
196,300,1.31546
201,300,1.33428
206,300,1.37844
211,300,1.40199
216,300,1.43757
221,300,1.47226
226,300,1.49891
231,300,1.54337
236,300,1.56465
241,300,1.61284
246,300,1.6315
251,300,1.69082
256,300,1.6993
261,300,1.76844
266,300,1.78432
271,300,1.83216
276,300,1.85591
281,300,1.891
286,300,1.92692
291,300,1.95011
296,300,2.00724
301,300,2.01549
306,300,2.05385
311,300,2.09269
316,300,2.11414
321,300,2.16262
326,300,2.19142
331,300,2.21576
336,300,2.26276
341,300,2.29204
346,300,2.3139
351,300,2.36544
356,300,2.39371
361,300,2.42
366,300,2.4465
371,300,2.50628
376,300,2.52498
381,300,2.55357
386,300,2.58994
391,300,2.62677
396,300,2.66631
401,300,2.70561
406,300,2.72843
411,300,2.7535
416,300,2.79158
421,300,2.81895
426,300,2.85185
431,300,2.90775
436,300,2.92345
441,300,2.9547
446,300,3.01001
451,300,3.02205
456,300,3.05639
461,300,3.1107
466,300,3.12238
471,300,3.15693
476,300,3.19517
481,300,3.2188
486,300,3.26667
491,300,3.28778
496,300,3.32063
1,320,0.00689897
2,320,0.0139399
3,320,0.0209679
4,320,0.0277136
5,320,0.0348484
6,320,0.0415874
7,320,0.048359
8,320,0.0549341
9,320,0.0631886
10,320,0.0697304
11,320,0.0755436
16,320,0.10899
21,320,0.143733
26,320,0.179075
31,320,0.210022
36,320,0.24812
41,320,0.28016
46,320,0.315092
51,320,0.346557
56,320,0.385698
61,320,0.419176
66,320,0.458627
71,320,0.485717
76,320,0.518954
81,320,0.55288
86,320,0.585998
91,320,0.625162
96,320,0.651141
101,320,0.687771
106,320,0.725174
111,320,0.760203
116,320,0.800557
121,320,0.826896
126,320,0.862818
131,320,0.911501
136,320,0.959367
141,320,0.978966
146,320,1.01312
151,320,1.0581
156,320,1.08159
161,320,1.11669
166,320,1.16243
171,320,1.19067
176,320,1.22256
181,320,1.26087
186,320,1.29018
191,320,1.33659
196,320,1.35999
201,320,1.39351
206,320,1.44295
211,320,1.46111
216,320,1.51664
221,320,1.52988
226,320,1.57721
231,320,1.59816
236,320,1.64756
241,320,1.66834
246,320,1.72241
251,320,1.74073
256,320,1.80473
261,320,1.83346
266,320,1.89156
271,320,1.89771
276,320,1.93789
281,320,1.97978
286,320,2.03032
291,320,2.06555
296,320,2.08028
301,320,2.14464
306,320,2.16436
311,320,2.18219
316,320,2.21336
321,320,2.26756
326,320,2.31179
331,320,2.31954
336,320,2.37287
341,320,2.39301
346,320,2.41943
351,320,2.46019
356,320,2.5014
361,320,2.52814
366,320,2.56434
371,320,2.60458
376,320,2.64763
381,320,2.67023
386,320,2.69969
391,320,2.74382
396,320,2.77959
401,320,2.82358
406,320,2.84758
411,320,2.88188
416,320,2.91843
421,320,2.95351
426,320,2.98673
431,320,3.0489
436,320,3.05066
441,320,3.08837
446,320,3.15447
451,320,3.17049
456,320,3.19666
461,320,3.23418
466,320,3.26129
471,320,3.29245
476,320,3.32925
481,320,3.36396
486,320,3.39915
491,320,3.43498
496,320,3.47425
1,340,0.00722876
2,340,0.0145866
3,340,0.0221503
4,340,0.0289947
5,340,0.0364489
6,340,0.0439857
7,340,0.0506174
8,340,0.0578924
9,340,0.0652265
10,340,0.0724018
11,340,0.0793821
16,340,0.113964
21,340,0.151283
26,340,0.186391
31,340,0.221607
36,340,0.259474
41,340,0.298023
46,340,0.329918
51,340,0.364105
56,340,0.398208
61,340,0.433681
66,340,0.473984
71,340,0.508607
76,340,0.544314
81,340,0.587733
86,340,0.616262
91,340,0.648485
96,340,0.686356
101,340,0.724567
106,340,0.770305
111,340,0.795736
116,340,0.832408
121,340,0.869206
126,340,0.919247
131,340,0.951632
136,340,0.98966
141,340,1.03378
146,340,1.06828
151,340,1.09876
156,340,1.1424
161,340,1.17761
166,340,1.20681
171,340,1.25429
176,340,1.29406
181,340,1.32497
186,340,1.35974
191,340,1.38597
196,340,1.43892
201,340,1.45794
206,340,1.504
211,340,1.52951
216,340,1.57192
221,340,1.60599
226,340,1.65353
231,340,1.69226
236,340,1.73425
241,340,1.76501
246,340,1.79723
251,340,1.82872
256,340,1.87603
261,340,1.91277
266,340,1.96389
271,340,1.98743
276,340,2.02936
281,340,2.07165
286,340,2.0964
291,340,2.14467
296,340,2.18162
301,340,2.20348
306,340,2.27175
311,340,2.2935
316,340,2.35754
321,340,2.35233
326,340,2.40545
331,340,2.42872
336,340,2.45781
341,340,2.50072
346,340,2.53968
351,340,2.57988
356,340,2.60691
361,340,2.65282
366,340,2.68603
371,340,2.7198
376,340,2.75682
381,340,2.78836
386,340,2.82938
391,340,2.87028
396,340,2.90564
401,340,2.93962
406,340,2.97974
411,340,3.01399
416,340,3.05521
421,340,3.08668
426,340,3.12841
431,340,3.15606
436,340,3.1964
441,340,3.23899
446,340,3.27186
451,340,3.30573
456,340,3.34077
461,340,3.37517
466,340,3.41073
471,340,3.4567
476,340,3.48148
481,340,3.533
486,340,3.57605
491,340,3.61271
496,340,3.64319
1,360,0.00764401
2,360,0.0155944
3,360,0.0227754
4,360,0.0303714
5,360,0.0379768
6,360,0.0451754
7,360,0.0525218
8,360,0.0597792
9,360,0.067759
10,360,0.075409
11,360,0.0820866
16,360,0.118468
21,360,0.157314
26,360,0.193576
31,360,0.230113
36,360,0.268006
41,360,0.306967
46,360,0.341542
51,360,0.380015
56,360,0.42064
61,360,0.450134
66,360,0.491805
71,360,0.528506
76,360,0.563941
81,360,0.604963
86,360,0.652567
91,360,0.677621
96,360,0.714257
101,360,0.75242
106,360,0.801272
111,360,0.82898
116,360,0.866106
121,360,0.905224
126,360,0.950738
131,360,0.990865
136,360,1.0381
141,360,1.08086
146,360,1.11332
151,360,1.14321
156,360,1.19484
161,360,1.21806
166,360,1.25679
171,360,1.29496
176,360,1.33136
181,360,1.3764
186,360,1.40881
191,360,1.44278
196,360,1.48629
201,360,1.51731
206,360,1.58147
211,360,1.59273
216,360,1.64537
221,360,1.6667
226,360,1.71435
231,360,1.74291
236,360,1.7978
241,360,1.8317
246,360,1.8746
251,360,1.90263
256,360,1.93503
261,360,2.01211
266,360,2.02798
271,360,2.07241
276,360,2.10819
281,360,2.14002
286,360,2.18884
291,360,2.2252
296,360,2.25268
301,360,2.30702
306,360,2.34351
311,360,2.36821
316,360,2.41906
321,360,2.453
326,360,2.49581
331,360,2.52637
336,360,2.57218
341,360,2.60713
346,360,2.63364
351,360,2.67704
356,360,2.71799
361,360,2.75669
366,360,2.79383
371,360,2.84095
376,360,2.86415
381,360,2.90222
386,360,2.93301
391,360,2.97526
396,360,3.03474
401,360,3.05547
406,360,3.10054
411,360,3.13071
416,360,3.17129
421,360,3.2098
426,360,3.24303
431,360,3.28049
436,360,3.33143
441,360,3.36634
446,360,3.39887
451,360,3.43904
456,360,3.47812
461,360,3.51601
466,360,3.57014
471,360,3.60156
476,360,3.62716
481,360,3.67281
486,360,3.7167
491,360,3.77466
496,360,3.80274
1,380,0.00819832
2,380,0.0159972
3,380,0.0236209
4,380,0.0314574
5,380,0.0391727
6,380,0.0468001
7,380,0.0543161
8,380,0.0620468
9,380,0.0701392
10,380,0.078046
11,380,0.0851478
16,380,0.122655
21,380,0.165147
26,380,0.202253
31,380,0.242359
36,380,0.278825
41,380,0.319139
46,380,0.353113
51,380,0.39168
56,380,0.429663
61,380,0.466953
66,380,0.509796
71,380,0.548112
76,380,0.585627
81,380,0.621515
86,380,0.663516
91,380,0.703157
96,380,0.749556
101,380,0.783885
106,380,0.821135
111,380,0.861045
116,380,0.9007
121,380,0.940107
126,380,0.978156
131,380,1.0287
136,380,1.07952
141,380,1.10983
146,380,1.16396
151,380,1.19288
156,380,1.22476
161,380,1.26673
166,380,1.30464
171,380,1.34185
176,380,1.38528
181,380,1.41928
186,380,1.45944
191,380,1.50568
196,380,1.53702
201,380,1.5792
206,380,1.6149
211,380,1.66176
216,380,1.69231
221,380,1.74018
226,380,1.77346
231,380,1.81151
236,380,1.85129
241,380,1.88865
246,380,1.93396
251,380,1.96776
256,380,2.01287
261,380,2.06661
266,380,2.10674
271,380,2.16613
276,380,2.18559
281,380,2.23714
286,380,2.26655
291,380,2.30287
296,380,2.35383
301,380,2.40153
306,380,2.42608
311,380,2.45857
316,380,2.50205
321,380,2.54291
326,380,2.59465
331,380,2.61606
336,380,2.66144
341,380,2.69482
346,380,2.73532
351,380,2.77247
356,380,2.81778
361,380,2.85639
366,380,2.89767
371,380,2.93174
376,380,2.98988
381,380,3.016
386,380,3.06537
391,380,3.09784
396,380,3.13862
401,380,3.17131
406,380,3.21289
411,380,3.25602
416,380,3.29351
421,380,3.33722
426,380,3.37151
431,380,3.41652
436,380,3.45455
441,380,3.50716
446,380,3.53678
451,380,3.58192
456,380,3.61855
461,380,3.66515
466,380,3.70413
471,380,3.75514
476,380,3.78277
481,380,3.82657
486,380,3.86728
491,380,3.92212
496,380,3.99832
1,400,0.00829057
2,400,0.0166409
3,400,0.0249285
4,400,0.0328827
5,400,0.0413301
6,400,0.0488897
7,400,0.0562054
8,400,0.0641665
9,400,0.0729393
10,400,0.0818187
11,400,0.0902666
16,400,0.130186
21,400,0.171774
26,400,0.211408
31,400,0.251329
36,400,0.294097
41,400,0.33486
46,400,0.374214
51,400,0.414076
56,400,0.454456
61,400,0.493956
66,400,0.538452
71,400,0.579601
76,400,0.619779
81,400,0.661846
86,400,0.712721
91,400,0.744512
96,400,0.788502
101,400,0.848511
106,400,0.893595
111,400,0.93122
116,400,0.956108
121,400,0.999101
126,400,1.04592
131,400,1.09567
136,400,1.13337
141,400,1.17578
146,400,1.21687
151,400,1.25831
156,400,1.31599
161,400,1.34119
166,400,1.39337
171,400,1.44092
176,400,1.49545
181,400,1.50525
186,400,1.54866
191,400,1.6234
196,400,1.62149
201,400,1.65786
206,400,1.72264
211,400,1.75628
216,400,1.79716
221,400,1.82291
226,400,1.87764
231,400,1.90723
236,400,1.97207
241,400,1.98183
246,400,2.02138
251,400,2.06663
256,400,2.10245
261,400,2.19931
266,400,2.22646
271,400,2.24466
276,400,2.31776
281,400,2.32621
286,400,2.36902
291,400,2.41696
296,400,2.48254
301,400,2.49129
306,400,2.52596
311,400,2.57847
316,400,2.62113
321,400,2.65621
326,400,2.69814
331,400,2.73512
336,400,2.7792
341,400,2.82844
346,400,2.86768
351,400,2.89907
356,400,2.94268
361,400,2.98431
366,400,3.02867
371,400,3.07205
376,400,3.10227
381,400,3.15275
386,400,3.19166
391,400,3.24361
396,400,3.28168
401,400,3.32825
406,400,3.36702
411,400,3.42229
416,400,3.45998
421,400,3.48121
426,400,3.54247
431,400,3.55724
436,400,3.61725
441,400,3.67166
446,400,3.70255
451,400,3.77837
456,400,3.81903
461,400,3.81374
466,400,3.87438
471,400,3.88405
476,400,3.91633
481,400,3.97389
486,400,4.0237
491,400,4.03383
496,400,4.07035
1,420,0.00853149
2,420,0.0169261
3,420,0.0252612
4,420,0.0333386
5,420,0.0423641
6,420,0.0500703
7,420,0.058806
8,420,0.0665336
9,420,0.0753811
10,420,0.0840439
11,420,0.0917909
16,420,0.132455
21,420,0.175372
26,420,0.215441
31,420,0.256972
36,420,0.302344
41,420,0.343018
46,420,0.37958
51,420,0.420743
56,420,0.460675
61,420,0.500917
66,420,0.547408
71,420,0.592646
76,420,0.644112
81,420,0.67979
86,420,0.714887
91,420,0.758937
96,420,0.809024
101,420,0.848829
106,420,0.883449
111,420,0.926991
116,420,0.976569
121,420,1.01163
126,420,1.05439
131,420,1.12037
136,420,1.15348
141,420,1.19309
146,420,1.24723
151,420,1.27684
156,420,1.31933
161,420,1.36382
166,420,1.39973
171,420,1.45828
176,420,1.48347
181,420,1.54934
186,420,1.56707
191,420,1.61812
196,420,1.65107
201,420,1.70751
206,420,1.73941
211,420,1.80025
216,420,1.82004
221,420,1.87752
226,420,1.9042
231,420,1.9625
236,420,1.99823
241,420,2.03788
246,420,2.08424
251,420,2.12092
256,420,2.1745
261,420,2.23352
266,420,2.25774
271,420,2.30635
276,420,2.35767
281,420,2.39309
286,420,2.43306
291,420,2.48608
296,420,2.52684
301,420,2.57472
306,420,2.59654
311,420,2.65337
316,420,2.69552
321,420,2.73502
326,420,2.77887
331,420,2.80651
336,420,2.85209
341,420,2.90077
346,420,2.93999
351,420,3.00179
356,420,3.0287
361,420,3.07585
366,420,3.11899
371,420,3.1602
376,420,3.20719
381,420,3.24359
386,420,3.28424
391,420,3.3228
396,420,3.3703
401,420,3.421
406,420,3.45679
411,420,3.49829
416,420,3.54332
421,420,3.58991
426,420,3.64974
431,420,3.67626
436,420,3.73575
441,420,3.77364
446,420,3.81472
451,420,3.84908
456,420,3.9209
461,420,3.94119
466,420,3.96756
471,420,4.06106
476,420,4.06369
481,420,4.10392
486,420,4.15326
491,420,4.20929
496,420,4.23094
1,440,0.00878253
2,440,0.0173166
3,440,0.0261216
4,440,0.0346455
5,440,0.0436254
6,440,0.0518817
7,440,0.0602808
8,440,0.0690394
9,440,0.0782208
10,440,0.0863667
11,440,0.0946794
16,440,0.139488
21,440,0.182859
26,440,0.222117
31,440,0.264941
36,440,0.307463
41,440,0.351292
46,440,0.392898
51,440,0.434687
56,440,0.478346
61,440,0.520478
66,440,0.573404
71,440,0.608271
76,440,0.653
81,440,0.698536
86,440,0.74219
91,440,0.794452
96,440,0.830283
101,440,0.872933
106,440,0.916612
111,440,0.968244
116,440,1.00438
121,440,1.05606
126,440,1.10429
131,440,1.15534
136,440,1.19045
141,440,1.23745
146,440,1.2812
151,440,1.35832
156,440,1.38907
161,440,1.42848
166,440,1.5132
171,440,1.59658
176,440,1.63999
181,440,1.70015
186,440,1.75386
191,440,1.71821
196,440,1.78794
201,440,1.84701
206,440,1.84131
211,440,1.8821
216,440,1.9256
221,440,1.97257
226,440,2.0144
231,440,2.07917
236,440,2.11133
241,440,2.15172
246,440,2.19459
251,440,2.23472
256,440,2.28319
261,440,2.42415
266,440,2.50725
271,440,2.4922
276,440,2.47709
281,440,2.50542
286,440,2.55817
291,440,2.59251
296,440,2.6411
301,440,2.67764
306,440,2.71521
311,440,2.7649
316,440,2.82491
321,440,2.86656
326,440,2.89696
331,440,2.94295
336,440,2.98137
341,440,3.03934
346,440,3.08294
351,440,3.13208
356,440,3.17743
361,440,3.22081
366,440,3.24636
371,440,3.29231
376,440,3.35481
381,440,3.38621
386,440,3.43723
391,440,3.475
396,440,3.52794
401,440,3.5697
406,440,3.62169
411,440,3.6574
416,440,3.70032
421,440,3.74956
426,440,3.81248
431,440,3.84579
436,440,3.89859
441,440,3.93205
446,440,3.97108
451,440,4.01961
456,440,4.04956
461,440,4.1068
466,440,4.14731
471,440,4.20082
476,440,4.2625
481,440,4.29459
486,440,4.31294
491,440,4.37283
496,440,4.43501
1,460,0.0090238
2,460,0.0181558
3,460,0.0275622
4,460,0.0359874
5,460,0.0454143
6,460,0.0541017
7,460,0.0633957
8,460,0.0714419
9,460,0.0813594
10,460,0.0896621
11,460,0.0996354
16,460,0.143755
21,460,0.190052
26,460,0.229992
31,460,0.277864
36,460,0.327461
41,460,0.369038
46,460,0.412735
51,460,0.452974
56,460,0.500878
61,460,0.547528
66,460,0.594361
71,460,0.646586
76,460,0.683452
81,460,0.73058
86,460,0.779704
91,460,0.823244
96,460,0.872631
101,460,0.910662
106,460,0.965432
111,460,1.0111
116,460,1.04765
121,460,1.09785
126,460,1.14722
131,460,1.20054
136,460,1.24523
141,460,1.29408
146,460,1.33366
151,460,1.38527
156,460,1.43189
161,460,1.46915
166,460,1.5192
171,460,1.56173
176,460,1.60451
181,460,1.65103
186,460,1.69819
191,460,1.74108
196,460,1.78265
201,460,1.83192
206,460,1.87918
211,460,1.92848
216,460,1.9741
221,460,2.02296
226,460,2.06102
231,460,2.10452
236,460,2.1683
241,460,2.2067
246,460,2.25328
251,460,2.29948
256,460,2.33378
261,460,2.40202
266,460,2.44619
271,460,2.49692
276,460,2.53752
281,460,2.58401
286,460,2.63489
291,460,2.68303
296,460,2.72252
301,460,2.76554
306,460,2.81321
311,460,2.85225
316,460,2.90616
321,460,2.96502
326,460,3.00599
331,460,3.04246
336,460,3.08986
341,460,3.13008
346,460,3.17606
351,460,3.22048
356,460,3.27052
361,460,3.30773
366,460,3.35627
371,460,3.40342
376,460,3.4612
381,460,3.50237
386,460,3.54825
391,460,3.60599
396,460,3.64789
401,460,3.68682
406,460,3.72919
411,460,3.78859
416,460,3.83997
421,460,3.89273
426,460,3.91907
431,460,3.95893
436,460,4.09428
441,460,4.17235
446,460,4.21232
451,460,4.22206
456,460,4.32915
461,460,4.30844
466,460,4.34074
471,460,4.37047
476,460,4.41761
481,460,4.46702
486,460,4.55999
491,460,4.76935
496,460,4.63454
1,480,0.00925423
2,480,0.0189506
3,480,0.0283905
4,480,0.0376345
5,480,0.0475781
6,480,0.0562868
7,480,0.065041
8,480,0.0760279
9,480,0.0839809
10,480,0.0956781
11,480,0.106197
16,480,0.152408
21,480,0.200201
26,480,0.252846
31,480,0.300913
36,480,0.345949
41,480,0.385679
46,480,0.434387
51,480,0.4864
56,480,0.541004
61,480,0.583975
66,480,0.633639
71,480,0.66279
76,480,0.702805
81,480,0.751446
86,480,0.807403
91,480,0.846976
96,480,0.897156
101,480,0.932382
106,480,1.01853
111,480,1.05854
116,480,1.10137
121,480,1.16683
126,480,1.21962
131,480,1.30657
136,480,1.34544
141,480,1.42609
146,480,1.47085
151,480,1.53018
156,480,1.52206
161,480,1.52012
166,480,1.61272
171,480,1.70331
176,480,1.66463
181,480,1.70645
186,480,1.74673
191,480,1.78692
196,480,1.84808
201,480,1.88791
206,480,1.92018
211,480,1.96227
216,480,2.01974
221,480,2.06178
226,480,2.11951
231,480,2.187
236,480,2.19583
241,480,2.2543
246,480,2.30788
251,480,2.33534
256,480,2.38311
261,480,2.45826
266,480,2.50258
271,480,2.54402
276,480,2.60639
281,480,2.65557
286,480,2.69118
291,480,2.73565
296,480,2.78998
301,480,2.84674
306,480,2.88785
311,480,2.93321
316,480,2.97031
321,480,3.01788
326,480,3.07623
331,480,3.12007
336,480,3.15613
341,480,3.20522
346,480,3.25863
351,480,3.30165
356,480,3.33754
361,480,3.39873
366,480,3.43919
371,480,3.50069
376,480,3.5435
381,480,3.5967
386,480,3.64443
391,480,3.69267
396,480,3.74592
401,480,3.79225
406,480,3.82275
411,480,3.89005
416,480,3.93091
421,480,3.98769
426,480,4.0014
431,480,4.05561
436,480,4.11056
441,480,4.16772
446,480,4.21837
451,480,4.24792
456,480,4.29278
461,480,4.35958
466,480,4.40979
471,480,4.45649
476,480,4.49523
481,480,4.54363
486,480,4.57024
491,480,4.63551
496,480,4.70659
1,500,0.00944498
2,500,0.0189656
3,500,0.0285221
4,500,0.0380489
5,500,0.0476831
6,500,0.0568975
7,500,0.066213
8,500,0.0756858
9,500,0.0855214
10,500,0.0952822
11,500,0.103833
16,500,0.149219
21,500,0.198231
26,500,0.242974
31,500,0.290951
36,500,0.337231
41,500,0.385722
46,500,0.430775
51,500,0.482862
56,500,0.522146
61,500,0.568502
66,500,0.623219
71,500,0.670581
76,500,0.722152
81,500,0.773709
86,500,0.816029
91,500,0.86358
96,500,0.917099
101,500,0.968291
106,500,1.00899
111,500,1.05667
116,500,1.10937
121,500,1.15268
126,500,1.21059
131,500,1.2641
136,500,1.30809
141,500,1.37239
146,500,1.40068
151,500,1.49762
156,500,1.56734
161,500,1.58269
166,500,1.63249
171,500,1.67836
176,500,1.71091
181,500,1.7726
186,500,1.81175
191,500,1.91133
196,500,1.95644
201,500,1.99279
206,500,2.02669
211,500,2.05219
216,500,2.0915
221,500,2.2779
226,500,2.19628
231,500,2.24635
236,500,2.36182
241,500,2.38481
246,500,2.39872
251,500,2.41823
256,500,2.53451
261,500,2.56029
266,500,2.62591
271,500,2.71183
276,500,2.69828
281,500,2.81969
286,500,2.90197
291,500,2.97404
296,500,2.96119
301,500,2.99888
306,500,3.1789
311,500,3.23631
316,500,3.30049
321,500,3.34906
326,500,3.35425
331,500,3.26661
336,500,3.26856
341,500,3.31556
346,500,3.36537
351,500,3.39839
356,500,3.45976
361,500,3.53277
366,500,3.55561
371,500,3.62459
376,500,3.66719
381,500,3.70218
386,500,3.76752
391,500,3.8337
396,500,3.86826
401,500,3.89131
406,500,3.94909
411,500,4.00216
416,500,4.04077
421,500,4.09309
426,500,4.14855
431,500,4.20491
436,500,4.24866
441,500,4.28861
446,500,4.34635
451,500,4.37671
456,500,4.43398
461,500,4.47263
466,500,4.52594
471,500,4.59885
476,500,4.63741
481,500,4.66738
486,500,4.72947
491,500,4.77702
496,500,4.80936
1,520,0.0101799
2,520,0.0202763
3,520,0.030328
4,520,0.0398197
5,520,0.0501939
6,520,0.0601897
7,520,0.0704346
8,520,0.0797559
9,520,0.0901522
10,520,0.0999578
11,520,0.111895
16,520,0.161635
21,520,0.210976
26,520,0.26193
31,520,0.312806
36,520,0.360165
41,520,0.410331
46,520,0.46337
51,520,0.505987
56,520,0.554416
61,520,0.611764
66,520,0.661828
71,520,0.714275
76,520,0.773764
81,520,0.823827
86,520,0.874666
91,520,0.918949
96,520,0.981435
101,520,1.02923
106,520,1.0727
111,520,1.12213
116,520,1.18513
121,520,1.23212
126,520,1.29186
131,520,1.34373
136,520,1.38722
141,520,1.45541
146,520,1.48969
151,520,1.55034
156,520,1.60139
161,520,1.6553
166,520,1.69932
171,520,1.7579
176,520,1.79885
181,520,1.86171
186,520,1.89435
191,520,1.95624
196,520,2.0009
201,520,2.05182
206,520,2.11954
211,520,2.15057
216,520,2.21366
221,520,2.26167
226,520,2.30391
231,520,2.36215
236,520,2.41366
241,520,2.48209
246,520,2.51076
251,520,2.5723
256,520,2.63265
261,520,2.68175
266,520,2.73572
271,520,2.80768
276,520,2.84763
281,520,2.88813
286,520,2.94948
291,520,3.00655
296,520,3.0515
301,520,3.11475
306,520,3.15397
311,520,3.2023
316,520,3.25534
321,520,3.30635
326,520,3.36186
331,520,3.41514
336,520,3.4736
341,520,3.51189
346,520,3.58444
351,520,3.62221
356,520,3.6853
361,520,3.73842
366,520,3.79463
371,520,3.86416
376,520,3.91092
381,520,3.93984
386,520,3.9986
391,520,4.10693
396,520,4.19424
401,520,4.26256
406,520,4.27412
411,520,4.31812
416,520,4.35373
421,520,4.37144
426,520,4.43464
431,520,4.51118
436,520,4.66046
441,520,4.8035
446,520,4.93076
451,520,4.70738
456,520,4.8051
461,520,4.79004
466,520,4.96561
471,520,4.89062
476,520,4.92447
481,520,4.95807
486,520,5.04606
491,520,5.08444
496,520,5.11051
1,540,0.0102791
2,540,0.0209767
3,540,0.0309905
4,540,0.0411015
5,540,0.0515698
6,540,0.0616114
7,540,0.0721058
8,540,0.0821854
9,540,0.0942207
10,540,0.104336
11,540,0.112413
16,540,0.163958
21,540,0.220345
26,540,0.269841
31,540,0.320732
36,540,0.368891
41,540,0.421641
46,540,0.474559
51,540,0.520179
56,540,0.571257
61,540,0.630777
66,540,0.696926
71,540,0.749083
76,540,0.801821
81,540,0.857978
86,540,0.892291
91,540,0.94502
96,540,1.00381
101,540,1.05324
106,540,1.10856
111,540,1.16072
116,540,1.21373
121,540,1.25621
126,540,1.31544
131,540,1.37291
136,540,1.43974
141,540,1.50099
146,540,1.54031
151,540,1.59925
156,540,1.67731
161,540,1.73392
166,540,1.77374
171,540,1.79669
176,540,1.86097
181,540,1.92796
186,540,1.98407
191,540,2.04039
196,540,2.10104
201,540,2.14528
206,540,2.21211
211,540,2.32681
216,540,2.32313
221,540,2.34034
226,540,2.38441
231,540,2.59569
236,540,2.66977
241,540,2.57736
246,540,2.5919
251,540,2.65083
256,540,2.71804
261,540,2.80336
266,540,2.81367
271,540,2.86596
276,540,2.91651
281,540,3.01283
286,540,3.03992
291,540,3.09828
296,540,3.13698
301,540,3.22183
306,540,3.24355
311,540,3.32077
316,540,3.35952
321,540,3.4035
326,540,3.44714
331,540,3.51246
336,540,3.56771
341,540,3.62168
346,540,3.68177
351,540,3.73519
356,540,3.78876
361,540,3.8172
366,540,3.8965
371,540,3.9262
376,540,4.00824
381,540,4.03211
386,540,4.08836
391,540,4.1696
396,540,4.21893
401,540,4.27089
406,540,4.31189
411,540,4.3887
416,540,4.45478
421,540,4.46461
426,540,4.51909
431,540,4.57382
436,540,4.63148
441,540,4.67893
446,540,4.75559
451,540,4.77812
456,540,4.84199
461,540,4.88385
466,540,4.95431
471,540,5.01121
476,540,5.08589
481,540,5.12073
486,540,5.16787
491,540,5.19455
496,540,5.26504
1,560,0.0105579
2,560,0.0213448
3,560,0.0318291
4,560,0.0424017
5,560,0.0533124
6,560,0.063395
7,560,0.0742318
8,560,0.0842021
9,560,0.0952386
10,560,0.105713
11,560,0.11533
16,560,0.167024
21,560,0.225821
26,560,0.276542
31,560,0.324485
36,560,0.386671
41,560,0.430003
46,560,0.488663
51,560,0.537402
56,560,0.588353
61,560,0.641811
66,560,0.703508
71,560,0.756168
76,560,0.810948
81,560,0.865482
86,560,0.917868
91,560,0.975721
96,560,1.03405
101,560,1.08177
106,560,1.13354
111,560,1.19472
116,560,1.23937
121,560,1.29992
126,560,1.35008
131,560,1.41832
136,560,1.4731
141,560,1.52513
146,560,1.58162
151,560,1.62794
156,560,1.69127
161,560,1.74398
166,560,1.80951
171,560,1.84439
176,560,1.89614
181,560,1.96235
186,560,2.01298
191,560,2.06299
196,560,2.12326
201,560,2.17105
206,560,2.23159
211,560,2.27349
216,560,2.3309
221,560,2.39168
226,560,2.45872
231,560,2.49555
236,560,2.57083
241,560,2.62186
246,560,2.66157
251,560,2.70519
256,560,2.76985
261,560,2.84278
266,560,2.89916
271,560,2.94569
276,560,3.0272
281,560,3.06034
286,560,3.13098
291,560,3.16514
296,560,3.21797
301,560,3.27849
306,560,3.32791
311,560,3.39545
316,560,3.43758
321,560,3.49893
326,560,3.5578
331,560,3.6164
336,560,3.68511
341,560,3.72646
346,560,3.78376
351,560,3.84996
356,560,3.89486
361,560,3.95695
366,560,3.98499
371,560,4.05625
376,560,4.13071
381,560,4.1982
386,560,4.22333
391,560,4.2747
396,560,4.32888
401,560,4.39204
406,560,4.43755
411,560,4.49283
416,560,4.55144
421,560,4.59065
426,560,4.63724
431,560,4.69589
436,560,4.75918
441,560,4.818
446,560,4.86451
451,560,4.93954
456,560,4.97012
461,560,5.0176
466,560,5.1095
471,560,5.12806
476,560,5.17604
481,560,5.23635
486,560,5.33345
491,560,5.36839
496,560,5.41903
1,580,0.0109031
2,580,0.0218918
3,580,0.0327484
4,580,0.0433594
5,580,0.0543946
6,580,0.0650492
7,580,0.0764091
8,580,0.0864497
9,580,0.0976194
10,580,0.108807
11,580,0.120501
16,580,0.178995
21,580,0.234181
26,580,0.283865
31,580,0.333695
36,580,0.38741
41,580,0.441941
46,580,0.501418
51,580,0.547393
56,580,0.603831
61,580,0.658988
66,580,0.719528
71,580,0.777397
76,580,0.832338
81,580,0.887774
86,580,0.942424
91,580,1.00809
96,580,1.0588
101,580,1.10955
106,580,1.16623
111,580,1.22018
116,580,1.27415
121,580,1.33663
126,580,1.39375
131,580,1.45871
136,580,1.50719
141,580,1.57364
146,580,1.61857
151,580,1.67732
156,580,1.72634
161,580,1.78745
166,580,1.83666
171,580,1.90284
